"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","15669.3659062795","18426.1215390034","22136.5542459845","24837.5439985966","25356.5629547813","26328.905711765","26400.0342464356","26666.5179039677","27270.5323011062","26705.1813209964","26084.3270120899","27190.8196784272","27150.9904582637","26953.1935755957","28413.3185989703","26967.7966325902","25508.3027198476","25469.5501282445","27003.6149972914","26980.6945684316","27047.2971737399","27426.4947563631","27364.8512655308","24464.4156064001","23513.527696809","24232.0512333462","23780.097972236","24634.3321496859","24562.7609355826","25822.7463429042","26232.7776632148","26631.4690408183","","","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1180.42537071196","1163.43240111156","1218.76417454783","1255.98604793435","1290.7499065591","1327.68639335964","1345.55184526165","1386.34265237333","1404.13427181912","1437.11989273567","1465.7903680946","1497.95048389396","1488.12184153735","1510.57166018879","1553.32737512181","1530.41345338711","1522.88819579245","1490.08405082419","1471.00148023238","1473.886289707","1513.00350797863","1530.79493455797","1489.74752293498","1444.41062290265","1453.16875869718","1406.64484062981","1390.31129034911","1398.75650592759","1415.83776529556","1411.57906740464","1372.34953495341","1332.88860644342","1268.24164784022","1225.58505792979","1217.6637355638","1236.61478158962","1269.57658985637","1279.35378533685","1267.34104872107","1268.07451202594","1277.90741894574","1287.50241024751","1305.79349035026","1312.50232540563","1348.01962144627","1395.89640811262","1452.26149957363","1514.49415609713","1545.1142520277","1519.61902512047","1550.12122522488","1571.92520036907","1579.23006326091","1605.49091273318","1626.43671342603","1626.92187956676","1615.71251601719","1617.93704510531","1613.52774865105","1598.37698239124","1502.09621981712",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330.303494438021","343.080889731082","333.216617124072","357.234761652514","365.284370559754","405.548889275729","412.014212359158","488.300371326933","543.302967401909","528.736683125618","576.190088453246","587.565035491396","583.656017892664","574.18411426293","571.075388473724","571.445240851978","564.617039478352","573.287505805589","549.391787084908",
"Africa Western and Central","AFW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1052.73807235042","1050.80580320248","1068.11469761062","1118.99955873169","1152.17873888801","1174.1460036495","1127.70185678231","998.966872860179","990.360936170222","1113.90067502587","1279.65310205486","1382.16077328869","1392.27558957473","1413.89887910876","1523.79230948795","1456.58210555018","1543.1299758624","1567.41476780908","1486.42619740306","1521.42040773643","1513.9819810593","1375.22517380505","1296.58018893677","1183.54864847683","1160.31691883723","1190.89617273255","1174.27670323618","1156.44426684281","1180.66916257547","1175.89944399514","1218.46529249327","1200.92310909159","1200.9295557816","1156.05683864613","1123.36570299604","1115.99217648879","1136.62974537714","1149.04481806876","1159.05239574369","1144.28816156697","1154.3612284796","1187.69567074856","1271.31842512714","1310.51901333187","1378.05667347116","1421.76287017414","1456.17107822178","1495.8295835159","1544.97344167286","1595.3051925839","1655.13013813728","1691.03812538796","1732.32203643139","1784.21097641985","1837.83507580102","1837.77844819157","1788.89891726313","1779.22322331773","1781.4297660401","1789.46790810645","1726.02264492629",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3193.40347861738","2947.18319741788","2844.31520880151","2859.91674045861","2925.36615807855","2922.21802813214","2902.61644333382","2916.7947535258","2989.6163157549","2889.88409320685","2697.49100590331","2635.15554951792","2401.23460449963","1767.02601107443","1733.84307360921","1930.79964794741","2122.96801641864","2205.29370359605","2235.39031747907","2211.12966098589","2205.20479980247","2223.33463308956","2444.41764282556","2433.86181902379","2608.78501823161","2896.55443103194","3116.18042005518","3424.37219332146","3668.07955400826","3565.0578864653","3587.88364462837","3579.96005519193","3748.45155037137","3796.88131369242","3843.1987330389","3748.32025213841","3530.31091633315","3409.92790097999","3233.90361075042","3111.15730771384","2890.89289718216",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1992.29193141135","2064.98366201803","2081.41762946956","2060.25372979627","1992.11089530965","1986.32191372469","2058.12060889689","2001.53265726801","1936.2322073095","2070.28951506789","1838.66748471688","1331.80531341432","1243.60582446625","1370.82607057959","1493.78590178292","1703.28184475531","1869.86587314624","1676.12710708271","1835.6466813013","2085.42599716821","2244.62463172571","2453.62441365203","2572.72143217486","2725.17138911963","2887.37034243453","3062.67388299547","3263.90171311883","3485.32240934607","3775.58131429173","3928.45039149695","4094.3503344202","4209.87480089435","4276.60790388367","4327.37995998728","4413.29689127908","4524.3730858712","4681.82656299266","4864.31061630449","5074.85722194352","5207.30532165124","5064.06191586953",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","41703.2623071765","41430.3469284034","42616.8881901226","43744.396232266","44193.9145023376","42711.4745829757","42627.3845209563","42517.015753874","41892.579250748","40609.0640742703","40081.1556879413","38496.2363085098","37364.8199541018","36407.5892945977","35450.3115567374","34738.3251166787","34382.693216311","34837.8662031913","35179.5647476037","35458.1857872512","35410.9672414956","34929.6487968446","33927.4418393701","32425.4519221601","32296.6945603519","32571.9658279066","33820.0896282317","36912.592231089","38197.5850669032","39622.487217128","40379.390206452","42391.1933189131","42607.6651925337","44329.9719487474","46006.4808757658","46878.4285106772","47844.2189794459","47595.9794181389","44318.6071847744","41669.8240601342","40850.2481432297","41191.2935576994","39769.5614582283","39145.6282072012","40914.7285238633","42150.6875086277","44109.0976197301","44433.0521900205","45132.541432445","45959.8482642774","40402.5398367679",
"Arab World","ARB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4079.79679212503","4577.83867339472","4798.49653078404","4611.95477942087","4983.52981985042","5263.21468045824","5255.00721578355","4633.54508821285","4185.10398869377","4113.73099991112","3898.25462990431","3963.32714173232","3832.06966627683","3936.10243000828","3920.41518626281","4275.37139233619","4224.90058520995","4353.36191288737","4377.63591226771","4403.38568161199","4387.92991008567","4485.16878277692","4572.72693658976","4711.05964575202","4695.15348687005","4907.17972777628","4877.54140776099","4793.02615470318","4910.20815056696","5256.97908174802","5424.25948218166","5628.27490768574","5746.40962703149","5935.10102269188","5819.05449542866","5948.6743487116","6033.61900930889","6291.07278948858","6361.18094631354","6388.29618276529","6469.63325993799","6556.00810219942","6494.94547429958","6508.74667963638","6484.11849568708","6043.96440170898",
"United Arab Emirates","ARE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","103606.040511588","103766.003387847","109318.189687125","94684.8125851515","102668.301240049","116232.980993337","113096.162371468","99318.7616018523","89704.1847145918","88583.4469991937","80886.4072372127","64972.1530816917","63352.7071472327","58146.7250057198","61588.2651760723","68780.4004628038","65478.5041117587","63853.8596566556","61081.4840295058","61843.4293459374","62681.3754810972","63076.7306731663","64864.7445999695","61773.8673566819","60291.6106243108","63251.4220773859","60861.2107158714","59187.3430398201","60351.1563060349","60328.2167313652","56092.956894845","53335.0516998031","47283.8419589141","42456.8018741402","36024.0764294837","33893.2638727391","34634.8582717779","35416.8840359827","36978.841081741","38495.0171077174","40247.7645210688","41045.1330402444","41460.2703367398","41327.3527243763","41420.4957502097","",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5642.76458712991","5853.17078082511","5711.18203820696","5323.49331782459","5772.6494377447","6286.23104858992","6151.92711991522","6255.1831996068","6460.78717312934","6980.89858430474","7084.18058852998","7368.07666894985","7368.50666626688","7453.75444927773","7740.85501645365","7617.94344580562","7350.82856664979","7743.58260531532","7285.44117154507","7910.36374281725","7908.02148425669","7380.67524400815","7210.34651996592","7403.72670392243","7399.88812396108","6904.64390150495","7214.27070267463","7294.06519159481","7104.18344407006","6497.42493901544","6245.70915105176","6721.2778327322","7157.32959198843","7644.237492231","7988.645310241","7666.53044449399","7994.24291719649","8543.02637775745","8772.06515552342","8381.25399829498","8224.11081904367","7776.13954096096","6854.29517226167","7380.46747487842","7962.41272288626","8577.8665381501","9174.50292533272","9901.50988510024","10201.4761916191","9502.24405449272","10385.9644319555","10883.315359489","10649.8372874572","10784.6306992057","10398.6940069464","10568.1578087083","10239.4813479933","10419.4554058198","10049.5552391482","9742.45541712886","8692.70804630198",
